ts,pond_id,sensors,rf,svm,knn,note
2026-01-04T11:58:13.650675Z,POND_TEST,"{""Timestamp"": ""2026-01-04T11:58:05.219888Z"", ""PondID"": ""POND_TEST"", ""Temp"": 29.065, ""Turbidity (cm)"": 33.732, ""DO(mg/L)"": 5.254, ""BOD (mg/L)"": 3.894, ""CO2"": 4.761, ""pH"": 7.806, ""Alkalinity (mg L-1 )"": 104.002, ""Hardness (mg L-1 )"": 130.929, ""Calcium (mg L-1 )"": 103.105, ""Ammonia (mg L-1 )"": 0.271, ""Nitrite (mg L-1 )"": 0.078, ""Phosphorus (mg L-1 )"": 0.267, ""H2S (mg L-1 )"": 0.0007, ""Plankton (No. L-1)"": 3535}","{""error"": ""('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))""}","{""class"": 2, ""label"": ""Dangerous"", ""probabilities"": [0.0001261336932062416, 0.01644881359464293, 0.9834250527121507]}",,
2026-01-04T11:58:17.631262Z,POND_TEST,"{""Timestamp"": ""2026-01-04T11:58:15.083593Z"", ""PondID"": ""POND_TEST"", ""Temp"": 29.327, ""Turbidity (cm)"": 36.263, ""DO(mg/L)"": 5.091, ""BOD (mg/L)"": 2.874, ""CO2"": 7.79, ""pH"": 7.84, ""Alkalinity (mg L-1 )"": 129.232, ""Hardness (mg L-1 )"": 157.918, ""Calcium (mg L-1 )"": 80.551, ""Ammonia (mg L-1 )"": 0.28, ""Nitrite (mg L-1 )"": 0.126, ""Phosphorus (mg L-1 )"": 0.352, ""H2S (mg L-1 )"": 0.0031, ""Plankton (No. L-1)"": 4240}","{""rf"": {""DO(mg/L)"": 5.29458779, ""pH"": 7.931652029999998, ""Ammonia (mg L-1 )"": 0.04000607999999997}, ""svm"": {""class"": 2, ""probabilities"": [0.00017430309459989468, 0.018502086435000755, 0.9813236104703995]}, ""knn"": {""DO(mg/L)"": 4.4080274}, ""knn_fallback_used"": false}","{""class"": 2, ""label"": ""Dangerous"", ""probabilities"": [0.00017430309459989468, 0.018502086435000755, 0.9813236104703995]}",,
2026-01-04T11:58:19.420566Z,POND_TEST,"{""Timestamp"": ""2026-01-04T11:58:19.321334Z"", ""PondID"": ""POND_TEST"", ""Temp"": 28.709, ""Turbidity (cm)"": 34.005, ""DO(mg/L)"": 4.784, ""BOD (mg/L)"": 4.286, ""CO2"": 4.644, ""pH"": 7.847, ""Alkalinity (mg L-1 )"": 129.923, ""Hardness (mg L-1 )"": 128.609, ""Calcium (mg L-1 )"": 108.063, ""Ammonia (mg L-1 )"": 0.292, ""Nitrite (mg L-1 )"": 0.164, ""Phosphorus (mg L-1 )"": 0.4, ""H2S (mg L-1 )"": 0.0015, ""Plankton (No. L-1)"": 3885}","{""rf"": {""DO(mg/L)"": 5.349345910000003, ""pH"": 7.819887139999996, ""Ammonia (mg L-1 )"": 0.026712019999999993}, ""svm"": {""class"": 2, ""probabilities"": [0.00035201665969936585, 0.028398645103746872, 0.9712493382365535]}, ""knn"": {""DO(mg/L)"": 3.8036608000000003}, ""knn_fallback_used"": false}","{""class"": 2, ""label"": ""Dangerous"", ""probabilities"": [0.00035201665969936585, 0.028398645103746872, 0.9712493382365535]}",,
2026-01-04T11:58:21.365240Z,POND_TEST,"{""Timestamp"": ""2026-01-04T11:58:21.237572Z"", ""PondID"": ""POND_TEST"", ""Temp"": 28.645, ""Turbidity (cm)"": 34.248, ""DO(mg/L)"": 5.1, ""BOD (mg/L)"": 4.829, ""CO2"": 5.587, ""pH"": 7.834, ""Alkalinity (mg L-1 )"": 132.495, ""Hardness (mg L-1 )"": 123.611, ""Calcium (mg L-1 )"": 104.47, ""Ammonia (mg L-1 )"": 0.254, ""Nitrite (mg L-1 )"": 0.163, ""Phosphorus (mg L-1 )"": 0.166, ""H2S (mg L-1 )"": 0.0019, ""Plankton (No. L-1)"": 1807}","{""rf"": {""DO(mg/L)"": 5.774126339999997, ""pH"": 7.348325469999996, ""Ammonia (mg L-1 )"": 0.03111119}, ""svm"": {""class"": 1, ""probabilities"": [0.00013868655561099816, 0.3618221942529339, 0.6380391191914552]}, ""knn"": {""DO(mg/L)"": 5.5181602}, ""knn_fallback_used"": false}","{""class"": 1, ""label"": ""Warning"", ""probabilities"": [0.00013868655561099816, 0.3618221942529339, 0.6380391191914552]}",,
2026-01-04T11:58:22.626854Z,POND_TEST,"{""Timestamp"": ""2026-01-04T11:58:22.533463Z"", ""PondID"": ""POND_TEST"", ""Temp"": 29.158, ""Turbidity (cm)"": 34.313, ""DO(mg/L)"": 4.832, ""BOD (mg/L)"": 3.753, ""CO2"": 4.342, ""pH"": 7.777, ""Alkalinity (mg L-1 )"": 123.904, ""Hardness (mg L-1 )"": 158.452, ""Calcium (mg L-1 )"": 97.549, ""Ammonia (mg L-1 )"": 0.303, ""Nitrite (mg L-1 )"": 0.161, ""Phosphorus (mg L-1 )"": 0.12, ""H2S (mg L-1 )"": 0.0017, ""Plankton (No. L-1)"": 4055}","{""rf"": {""DO(mg/L)"": 5.195915920000001, ""pH"": 7.902888309999998, ""Ammonia (mg L-1 )"": 0.06747944999999997}, ""svm"": {""class"": 2, ""probabilities"": [0.000177265286434953, 0.10314354370403069, 0.8966791910095346]}, ""knn"": {""DO(mg/L)"": 3.8357078000000002}, ""knn_fallback_used"": false}","{""class"": 2, ""label"": ""Dangerous"", ""probabilities"": [0.000177265286434953, 0.10314354370403069, 0.8966791910095346]}",,
2026-01-04T11:58:24.289343Z,POND_TEST,"{""Timestamp"": ""2026-01-04T11:58:24.173022Z"", ""PondID"": ""POND_TEST"", ""Temp"": 28.942, ""Turbidity (cm)"": 36.01, ""DO(mg/L)"": 5.145, ""BOD (mg/L)"": 3.392, ""CO2"": 4.65, ""pH"": 7.843, ""Alkalinity (mg L-1 )"": 123.768, ""Hardness (mg L-1 )"": 110.304, ""Calcium (mg L-1 )"": 80.321, ""Ammonia (mg L-1 )"": 0.317, ""Nitrite (mg L-1 )"": 0.131, ""Phosphorus (mg L-1 )"": 0.114, ""H2S (mg L-1 )"": 0.0014, ""Plankton (No. L-1)"": 2878}","{""rf"": {""DO(mg/L)"": 4.869169640000001, ""pH"": 7.929461719999994, ""Ammonia (mg L-1 )"": 0.05867856}, ""svm"": {""class"": 2, ""probabilities"": [0.0003496084298762224, 0.028134738086697406, 0.9715156534834262]}, ""knn"": {""DO(mg/L)"": 6.456213199999999}, ""knn_fallback_used"": false}","{""class"": 2, ""label"": ""Dangerous"", ""probabilities"": [0.0003496084298762224, 0.028134738086697406, 0.9715156534834262]}",,
2026-01-04T11:58:25.848836Z,POND_TEST,"{""Timestamp"": ""2026-01-04T11:58:25.750329Z"", ""PondID"": ""POND_TEST"", ""Temp"": 29.202, ""Turbidity (cm)"": 36.543, ""DO(mg/L)"": 5.124, ""BOD (mg/L)"": 2.363, ""CO2"": 5.326, ""pH"": 7.761, ""Alkalinity (mg L-1 )"": 108.077, ""Hardness (mg L-1 )"": 140.352, ""Calcium (mg L-1 )"": 73.885, ""Ammonia (mg L-1 )"": 0.318, ""Nitrite (mg L-1 )"": 0.169, ""Phosphorus (mg L-1 )"": 0.187, ""H2S (mg L-1 )"": 0.0045, ""Plankton (No. L-1)"": 3614}","{""rf"": {""DO(mg/L)"": 4.93728927, ""pH"": 8.14411216, ""Ammonia (mg L-1 )"": 0.04010866000000002}, ""svm"": {""class"": 2, ""probabilities"": [1.5524462066516697e-06, 1.4584493744371167e-06, 0.9999969891044189]}, ""knn"": {""DO(mg/L)"": 4.1173}, ""knn_fallback_used"": false}","{""class"": 2, ""label"": ""Dangerous"", ""probabilities"": [1.5524462066516697e-06, 1.4584493744371167e-06, 0.9999969891044189]}",,
2026-01-04T11:58:27.240816Z,POND_TEST,"{""Timestamp"": ""2026-01-04T11:58:27.162823Z"", ""PondID"": ""POND_TEST"", ""Temp"": 28.964, ""Turbidity (cm)"": 34.248, ""DO(mg/L)"": 5.181, ""BOD (mg/L)"": 4.877, ""CO2"": 5.571, ""pH"": 7.778, ""Alkalinity (mg L-1 )"": 126.557, ""Hardness (mg L-1 )"": 122.018, ""Calcium (mg L-1 )"": 105.75, ""Ammonia (mg L-1 )"": 0.255, ""Nitrite (mg L-1 )"": 0.126, ""Phosphorus (mg L-1 )"": 0.217, ""H2S (mg L-1 )"": 0.0007, ""Plankton (No. L-1)"": 3978}","{""rf"": {""DO(mg/L)"": 5.486707690000002, ""pH"": 7.823038919999996, ""Ammonia (mg L-1 )"": 0.02558858}, ""svm"": {""class"": 2, ""probabilities"": [0.0004944811269839568, 0.034224761488857426, 0.9652807573841587]}, ""knn"": {""DO(mg/L)"": 4.2376906}, ""knn_fallback_used"": false}","{""class"": 2, ""label"": ""Dangerous"", ""probabilities"": [0.0004944811269839568, 0.034224761488857426, 0.9652807573841587]}",,
2026-01-04T11:58:28.968602Z,POND_TEST,"{""Timestamp"": ""2026-01-04T11:58:28.886075Z"", ""PondID"": ""POND_TEST"", ""Temp"": 28.625, ""Turbidity (cm)"": 35.604, ""DO(mg/L)"": 3.665, ""BOD (mg/L)"": 4.769, ""CO2"": 6.226, ""pH"": 7.825, ""Alkalinity (mg L-1 )"": 108.045, ""Hardness (mg L-1 )"": 158.353, ""Calcium (mg L-1 )"": 75.4, ""Ammonia (mg L-1 )"": 0.316, ""Nitrite (mg L-1 )"": 0.145, ""Phosphorus (mg L-1 )"": 0.341, ""H2S (mg L-1 )"": 0.0047, ""Plankton (No. L-1)"": 4825}","{""rf"": {""DO(mg/L)"": 4.958553360000002, ""pH"": 7.823714410000001, ""Ammonia (mg L-1 )"": 0.05367863999999997}, ""svm"": {""class"": 2, ""probabilities"": [9.485173497937828e-05, 0.0740189040651141, 0.9258862441999065]}, ""knn"": {""DO(mg/L)"": 6.607666400000001}, ""knn_fallback_used"": false}","{""class"": 2, ""label"": ""Dangerous"", ""probabilities"": [9.485173497937828e-05, 0.0740189040651141, 0.9258862441999065]}",,night_do_drop;
2026-01-04T11:58:30.448509Z,POND_TEST,"{""Timestamp"": ""2026-01-04T11:58:30.309150Z"", ""PondID"": ""POND_TEST"", ""Temp"": 29.059, ""Turbidity (cm)"": 36.348, ""DO(mg/L)"": 4.792, ""BOD (mg/L)"": 4.371, ""CO2"": 4.856, ""pH"": 7.822, ""Alkalinity (mg L-1 )"": 138.405, ""Hardness (mg L-1 )"": 101.995, ""Calcium (mg L-1 )"": 83.258, ""Ammonia (mg L-1 )"": 0.301, ""Nitrite (mg L-1 )"": 0.194, ""Phosphorus (mg L-1 )"": 0.178, ""H2S (mg L-1 )"": 0.0021, ""Plankton (No. L-1)"": 4186}","{""rf"": {""DO(mg/L)"": 4.9452228400000005, ""pH"": 7.747570209999996, ""Ammonia (mg L-1 )"": 0.06339116999999997}, ""svm"": {""class"": 2, ""probabilities"": [0.0005409523707443035, 0.03589101849297765, 0.9635680291362778]}, ""knn"": {""DO(mg/L)"": 4.571599}, ""knn_fallback_used"": false}","{""class"": 2, ""label"": ""Dangerous"", ""probabilities"": [0.0005409523707443035, 0.03589101849297765, 0.9635680291362778]}",,
2026-01-04T11:58:31.768405Z,POND_TEST,"{""Timestamp"": ""2026-01-04T11:58:31.687799Z"", ""PondID"": ""POND_TEST"", ""Temp"": 29.156, ""Turbidity (cm)"": 35.609, ""DO(mg/L)"": 3.909, ""BOD (mg/L)"": 3.88, ""CO2"": 5.934, ""pH"": 7.834, ""Alkalinity (mg L-1 )"": 106.415, ""Hardness (mg L-1 )"": 140.175, ""Calcium (mg L-1 )"": 70.227, ""Ammonia (mg L-1 )"": 0.33, ""Nitrite (mg L-1 )"": 0.185, ""Phosphorus (mg L-1 )"": 0.357, ""H2S (mg L-1 )"": 0.0008, ""Plankton (No. L-1)"": 3781}","{""rf"": {""DO(mg/L)"": 5.34143786, ""pH"": 7.684423380000001, ""Ammonia (mg L-1 )"": 0.05142703999999997}, ""svm"": {""class"": 2, ""probabilities"": [6.847204195241531e-05, 0.011941423170395399, 0.9879901047876523]}, ""knn"": {""DO(mg/L)"": 3.2825037999999997}, ""knn_fallback_used"": false}","{""class"": 2, ""label"": ""Dangerous"", ""probabilities"": [6.847204195241531e-05, 0.011941423170395399, 0.9879901047876523]}",,night_do_drop;
2026-01-04T11:58:33.792618Z,POND_TEST,"{""Timestamp"": ""2026-01-04T11:58:33.675728Z"", ""PondID"": ""POND_TEST"", ""Temp"": 28.533, ""Turbidity (cm)"": 36.005, ""DO(mg/L)"": 5.013, ""BOD (mg/L)"": 2.523, ""CO2"": 4.261, ""pH"": 7.799, ""Alkalinity (mg L-1 )"": 118.385, ""Hardness (mg L-1 )"": 155.84, ""Calcium (mg L-1 )"": 74.618, ""Ammonia (mg L-1 )"": 0.3, ""Nitrite (mg L-1 )"": 0.077, ""Phosphorus (mg L-1 )"": 0.232, ""H2S (mg L-1 )"": 0.0036, ""Plankton (No. L-1)"": 4752}","{""rf"": {""DO(mg/L)"": 4.8320855699999985, ""pH"": 7.807079979999998, ""Ammonia (mg L-1 )"": 0.03976835}, ""svm"": {""class"": 2, ""probabilities"": [1.236780832925677e-05, 0.004690314623928695, 0.9952973175677422]}, ""knn"": {""DO(mg/L)"": 6.5143372}, ""knn_fallback_used"": false}","{""class"": 2, ""label"": ""Dangerous"", ""probabilities"": [1.236780832925677e-05, 0.004690314623928695, 0.9952973175677422]}",,
2026-01-04T11:58:35.281424Z,POND_TEST,"{""Timestamp"": ""2026-01-04T11:58:35.177008Z"", ""PondID"": ""POND_TEST"", ""Temp"": 28.734, ""Turbidity (cm)"": 36.266, ""DO(mg/L)"": 4.949, ""BOD (mg/L)"": 3.241, ""CO2"": 5.649, ""pH"": 7.748, ""Alkalinity (mg L-1 )"": 138.572, ""Hardness (mg L-1 )"": 120.084, ""Calcium (mg L-1 )"": 82.145, ""Ammonia (mg L-1 )"": 0.285, ""Nitrite (mg L-1 )"": 0.08, ""Phosphorus (mg L-1 )"": 0.189, ""H2S (mg L-1 )"": 0.0022, ""Plankton (No. L-1)"": 1972}","{""rf"": {""DO(mg/L)"": 6.2097381799999996, ""pH"": 7.228173189999996, ""Ammonia (mg L-1 )"": 0.03099119000000001}, ""svm"": {""class"": 2, ""probabilities"": [0.0007416668971680532, 0.04274704082473209, 0.9565112922780996]}, ""knn"": {""DO(mg/L)"": 5.5247048}, ""knn_fallback_used"": false}","{""class"": 2, ""label"": ""Dangerous"", ""probabilities"": [0.0007416668971680532, 0.04274704082473209, 0.9565112922780996]}",,
2026-01-04T12:00:10.423643Z,POND_TEST,"{""Timestamp"": ""2026-01-04T12:00:07.936663Z"", ""PondID"": ""POND_TEST"", ""Temp"": 29.263, ""Turbidity (cm)"": 34.39, ""DO(mg/L)"": 4.76, ""BOD (mg/L)"": 2.678, ""CO2"": 7.731, ""pH"": 7.795, ""Alkalinity (mg L-1 )"": 118.515, ""Hardness (mg L-1 )"": 149.56, ""Calcium (mg L-1 )"": 101.723, ""Ammonia (mg L-1 )"": 0.29, ""Nitrite (mg L-1 )"": 0.171, ""Phosphorus (mg L-1 )"": 0.392, ""H2S (mg L-1 )"": 0.0045, ""Plankton (No. L-1)"": 3688}","{""rf"": {""DO(mg/L)"": 5.226016049999999, ""pH"": 7.998205020000005, ""Ammonia (mg L-1 )"": 0.03261545999999998}, ""svm"": {""class"": 2, ""probabilities"": [0.00012114767493231353, 0.013867838507062354, 0.9860110138180053]}, ""knn"": {""DO(mg/L)"": 3.9271612000000005}, ""knn_fallback_used"": false}","{""class"": 2, ""label"": ""Dangerous"", ""probabilities"": [0.00012114767493231353, 0.013867838507062354, 0.9860110138180053]}",,
